Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'21-Oct-2021 12:25:08.876',0.691227,-3.595814,6.250053,77.741835,9.470225,0.392956
'21-Oct-2021 12:25:08.895',-0.025723,-2.929114,5.590531,80.19933,6.760339,0.271429
'21-Oct-2021 12:25:08.914',-0.790828,-2.25045,4.978866,82.605824,4.204816,0.267137
'21-Oct-2021 12:25:08.933',-1.41685,-1.552643,4.965705,84.877852,1.881051,0.377516
'21-Oct-2021 12:25:08.952',-1.808376,-0.837787,5.219345,86.978983,-0.134968,0.730502
'21-Oct-2021 12:25:08.971',-1.980659,-0.141177,4.989634,88.902883,-1.810526,1.302563
'21-Oct-2021 12:25:08.990',-2.427219,0.439382,5.137989,90.690159,-3.174489,1.981012
'21-Oct-2021 12:25:09.009',-2.940779,0.884746,5.840581,92.346282,-4.180623,2.720847
'21-Oct-2021 12:25:09.028',-2.862713,1.079761,7.002894,93.859148,-4.809463,3.553446
'21-Oct-2021 12:25:09.046',-2.604288,1.017548,7.535597,95.162458,-5.100211,4.377112
'21-Oct-2021 12:25:09.066',-2.499004,0.954138,7.856534,96.268204,-5.107846,4.809541
'21-Oct-2021 12:25:09.085',-2.239084,0.890728,9.363414,97.290328,-4.97284,4.801205
'21-Oct-2021 12:25:09.104',-1.585544,0.64995,10.274482,98.256752,-4.725536,4.646854
'21-Oct-2021 12:25:09.123',-0.814756,0.500399,9.537193,99.093559,-4.41147,4.313314
'21-Oct-2021 12:25:09.142',-0.851845,0.545863,8.720642,99.805852,-4.132465,3.724303
'21-Oct-2021 12:25:09.161',-1.552045,0.605683,9.866206,100.421703,-3.848418,3.213241
'21-Oct-2021 12:25:09.180',-1.948356,0.398704,10.693524,100.941371,-3.506167,3.12114
'21-Oct-2021 12:25:09.199',-1.194018,0.150748,10.26491,101.275497,-3.175539,3.163671
'21-Oct-2021 12:25:09.218',-0.472283,0.166301,10.305588,101.440467,-2.985498,3.111808
'21-Oct-2021 12:25:09.237',-0.805185,0.456132,10.196714,101.581893,-2.85316,3.079248
'21-Oct-2021 12:25:09.256',-1.412064,0.670289,10.183554,101.782885,-2.761912,3.079433
'21-Oct-2021 12:25:09.275',-1.380958,0.745663,10.206285,101.959507,-2.688595,3.134326
'21-Oct-2021 12:25:09.294',-1.019342,0.797408,9.792028,102.055539,-2.621284,3.278098
'21-Oct-2021 12:25:09.313',-0.762114,0.890728,8.522038,102.103098,-2.565019,3.403026
'21-Oct-2021 12:25:09.332',-0.921237,0.751945,9.24138,102.155362,-2.473422,3.507328
'21-Oct-2021 12:25:09.351',-1.346262,0.168694,10.128519,102.209225,-2.202696,3.79138
'21-Oct-2021 12:25:09.370',-0.971486,-0.377169,10.400105,102.22475,-1.895296,4.314213
'21-Oct-2021 12:25:09.389',-0.378963,-0.378365,10.312766,102.16336,-1.64472,4.71113
'21-Oct-2021 12:25:09.408',-0.625424,0.081356,10.026824,102.100625,-1.45805,4.896297
'21-Oct-2021 12:25:09.427',-0.994218,0.397508,9.884152,102.131737,-1.301593,4.956857
'21-Oct-2021 12:25:09.446',-0.787239,0.378365,9.683155,102.200462,-1.161951,5.055046
'21-Oct-2021 12:25:09.465',-0.479462,0.220439,9.652048,102.231457,-1.066093,5.297316
'21-Oct-2021 12:25:09.484',-0.726222,0.099302,9.479765,102.22309,-0.961216,5.63874
'21-Oct-2021 12:25:09.503',-1.17009,0.010768,9.550353,102.209533,-0.817304,5.958588
'21-Oct-2021 12:25:09.522',-1.161715,0.001196,9.845867,102.180716,-0.64372,6.208505
'21-Oct-2021 12:25:09.541',-0.854238,0.071785,9.838689,102.133786,-0.465772,6.366229
'21-Oct-2021 12:25:09.560',-0.769292,0.119641,9.650852,102.102326,-0.300904,6.422103
'21-Oct-2021 12:25:09.579',-1.043271,0.055035,9.705887,102.114354,-0.138113,6.420153
'21-Oct-2021 12:25:09.598',-1.26012,0.007178,9.945169,102.160574,0.023955,6.437214
'21-Oct-2021 12:25:09.617',-1.231406,0.101695,10.051949,102.190381,0.177924,6.49654
'21-Oct-2021 12:25:09.636',-1.162912,0.159123,9.826724,102.205271,0.315733,6.579838
'21-Oct-2021 12:25:09.655',-1.185644,0.11007,9.8016,102.221171,0.422033,6.6823
'21-Oct-2021 12:25:09.674',-1.311566,0.038285,9.805189,102.243123,0.513233,6.812673
'21-Oct-2021 12:25:09.693',-1.54008,0.021535,9.893723,102.276284,0.593004,6.970062
'21-Oct-2021 12:25:09.712',-1.595115,-0.041874,9.915258,102.306446,0.671427,7.12063
'21-Oct-2021 12:25:09.731',-1.520938,-0.107677,9.83151,102.312136,0.728596,7.253496
'21-Oct-2021 12:25:09.750',-1.48026,-0.217747,10.030414,102.280321,0.767529,7.312342
'21-Oct-2021 12:25:09.769',-1.60708,-0.252443,9.758529,102.218774,0.785592,7.254078
'21-Oct-2021 12:25:09.788',-1.070788,0.071785,9.003294,102.146114,0.718286,7.038249
'21-Oct-2021 12:25:34.431',-0.140877,-9.317652,3.366402,28.295532,72.322544,-9.256444
'21-Oct-2021 12:25:34.450',0.000598,-9.642178,3.632006,28.372058,72.695418,-8.309094
'21-Oct-2021 12:25:34.469',0.114257,-9.650553,3.402295,27.804281,72.897263,-7.040733
'21-Oct-2021 12:25:34.488',0.166899,-9.600304,2.89711,27.027059,72.938641,-6.245599
'21-Oct-2021 12:25:34.507',0.296112,-9.600304,2.57378,26.409376,72.897038,-6.122973
'21-Oct-2021 12:25:34.526',0.620638,-9.581161,2.563012,26.07319,72.898459,-6.45115
'21-Oct-2021 12:25:34.545',0.841974,-9.49143,2.65035,25.951978,72.919141,-6.9277
'21-Oct-2021 12:25:34.564',0.724726,-9.352647,2.682952,25.863601,72.971132,-7.27929
'21-Oct-2021 12:25:34.583',0.551247,-9.241081,2.72363,25.80079,73.065375,-7.515553
'21-Oct-2021 12:25:34.602',0.541675,-9.199206,2.782254,25.706394,73.203393,-7.549842
