Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'04-Oct-2021 17:47:20.987',-1.819595,-9.112335,4.620804,-26.387015,65.445732,10.993007
'04-Oct-2021 17:47:20.996',-1.632843,-9.150635,4.730942,-26.390809,65.348702,10.557378
'04-Oct-2021 17:47:21.005',-1.426941,-9.165009,4.836288,-26.392321,65.241933,10.084777
'04-Oct-2021 17:47:21.014',-1.278503,-9.203308,4.960785,-26.413445,65.123279,9.635595
'04-Oct-2021 17:47:21.023',-1.187531,-9.227249,4.965576,-26.448632,64.993041,9.251678
'04-Oct-2021 17:47:21.032',-1.130066,-9.241623,4.941635,-26.509233,64.853479,8.944392
'04-Oct-2021 17:47:21.041',-1.072601,-9.241623,4.989517,-26.606932,64.703693,8.698277
'04-Oct-2021 17:47:21.050',-1.072601,-9.227249,5.032608,-26.746411,64.545472,8.490846
'04-Oct-2021 17:47:21.058',-1.144424,-9.222458,5.094864,-26.917968,64.375277,8.303725
'04-Oct-2021 17:47:21.068',-1.177948,-9.236832,5.137955,-27.126914,64.190671,8.137342
'04-Oct-2021 17:47:21.077',-1.144424,-9.212891,5.17627,-27.353282,63.993757,7.990492
'04-Oct-2021 17:47:21.086',-1.125275,-9.150635,5.190628,-27.572873,63.787157,7.863729
'04-Oct-2021 17:47:21.095',-1.091751,-9.03093,5.21936,-27.781943,63.571344,7.763904
'04-Oct-2021 17:47:21.104',-1.034302,-9.002197,5.248093,-27.956605,63.347477,7.694224
'04-Oct-2021 17:47:21.113',-1.019928,-8.983047,5.243301,-28.11909,63.116057,7.647268
'04-Oct-2021 17:47:21.122',-1.096542,-8.978256,5.21936,-28.246678,62.881098,7.622026
'04-Oct-2021 17:47:21.131',-1.201889,-8.983047,5.200211,-28.407773,62.648114,7.628789
'04-Oct-2021 17:47:21.140',-1.259354,-8.983047,5.248093,-28.601067,62.419412,7.68348
'04-Oct-2021 17:47:21.149',-1.268921,-8.973465,5.430054,-28.828815,62.188217,7.794059
'04-Oct-2021 17:47:21.158',-1.254562,-9.01178,5.559341,-29.090298,61.9433,7.964711
'04-Oct-2021 17:47:21.167',-1.268921,-9.054871,5.693405,-29.38121,61.677278,8.210477
'04-Oct-2021 17:47:21.176',-1.254562,-9.07402,5.73172,-29.680823,61.388142,8.539899
'04-Oct-2021 17:47:21.185',-1.254562,-9.117126,5.798752,-30.009536,61.075825,8.93994
'04-Oct-2021 17:47:21.194',-1.393433,-9.064453,5.77002,-30.342729,60.73952,9.363961
'04-Oct-2021 17:47:21.203',-1.680725,-9.006989,5.616791,-30.692876,60.388715,9.772569
'04-Oct-2021 17:47:21.212',-1.924942,-8.896851,5.525818,-31.09489,60.033162,10.13515
'04-Oct-2021 17:47:21.221',-2.097321,-8.810669,5.487503,-31.547244,59.676879,10.433603
'04-Oct-2021 17:47:21.230',-2.183517,-8.786713,5.544968,-32.065979,59.317932,10.667064
'04-Oct-2021 17:47:21.239',-2.106903,-8.796295,5.650314,-32.642878,58.954689,10.85981
'04-Oct-2021 17:47:21.248',-1.910568,-8.877701,5.77002,-33.248832,58.581528,11.025579
'04-Oct-2021 17:47:21.257',-1.781281,-8.954315,5.851425,-33.872599,58.197624,11.169618
'04-Oct-2021 17:47:21.266',-1.642426,-8.987839,5.913681,-34.467867,57.801897,11.292983
'04-Oct-2021 17:47:21.275',-1.565811,-8.930374,5.88974,-35.071655,57.400841,11.400551
'04-Oct-2021 17:47:21.284',-1.599319,-8.848969,5.92804,-35.642523,56.992454,11.493748
'04-Oct-2021 17:47:21.293',-1.680725,-8.738831,5.899307,-36.218027,56.574481,11.584954
'04-Oct-2021 17:47:21.302',-1.675934,-8.623917,6.004654,-36.787416,56.14701,11.679733
'04-Oct-2021 17:47:21.311',-1.800446,-8.53772,5.880157,-37.366022,55.716551,11.780844
'04-Oct-2021 17:47:21.320',-1.977615,-8.418015,5.736511,-37.957199,55.290299,11.875608
'04-Oct-2021 17:47:21.329',-2.082962,-8.398865,5.717346,-38.59019,54.872842,11.934547
'04-Oct-2021 17:47:21.338',-2.183517,-8.394073,5.774811,-39.245014,54.46523,11.933063
'04-Oct-2021 17:47:21.347',-2.269699,-8.350983,5.875366,-39.911585,54.062525,11.866749
'04-Oct-2021 17:47:21.356',-2.312805,-8.327026,6.08606,-40.567304,53.652068,11.743488
'04-Oct-2021 17:47:21.365',-2.303223,-8.307877,6.301544,-41.226964,53.217979,11.577935
'04-Oct-2021 17:47:21.374',-2.269699,-8.336609,6.339844,-41.873059,52.759769,11.384267
'04-Oct-2021 17:47:21.383',-2.178726,-8.336609,6.311111,-42.518238,52.280542,11.160141
'04-Oct-2021 17:47:21.392',-2.082962,-8.307877,6.282379,-43.148774,51.788338,10.916393
'04-Oct-2021 17:47:21.401',-1.991974,-8.240845,6.268021,-43.792704,51.298026,10.69385
'04-Oct-2021 17:47:21.410',-1.867477,-8.188171,6.24408,-44.426002,50.819268,10.541084
'04-Oct-2021 17:47:21.419',-1.848328,-8.082825,6.296753,-45.079576,50.3528,10.491644
'04-Oct-2021 17:47:21.428',-1.905777,-7.982269,6.387726,-45.732218,49.896837,10.559674
'04-Oct-2021 17:47:21.437',-1.972824,-7.987061,6.493073,-46.410015,49.450512,10.750763
'04-Oct-2021 17:47:21.446',-2.035065,-7.958328,6.588837,-47.106903,49.004811,11.051753
'04-Oct-2021 17:47:21.455',-2.126053,-7.96312,6.617569,-47.811304,48.551628,11.431263
'04-Oct-2021 17:47:21.464',-2.303223,-7.958328,6.608002,-48.519847,48.08684,11.842126
'04-Oct-2021 17:47:21.473',-2.47081,-7.929596,6.64151,-49.245012,47.610363,12.231606
'04-Oct-2021 17:47:21.482',-2.595322,-7.86734,6.655884,-49.977983,47.126154,12.559796
'04-Oct-2021 17:47:21.491',-2.652771,-7.78595,6.579269,-50.710644,46.633397,12.80969
'04-Oct-2021 17:47:21.500',-2.681503,-7.69017,6.579269,-51.437007,46.132307,12.989363
'04-Oct-2021 17:47:21.509',-2.643204,-7.618347,6.531387,-52.165768,45.627129,13.115438
'04-Oct-2021 17:47:21.518',-2.614471,-7.556107,6.478714,-52.884007,45.119629,13.212654
'04-Oct-2021 17:47:21.527',-2.576157,-7.522583,6.406891,-53.620229,44.617808,13.317721
'04-Oct-2021 17:47:21.536',-2.533066,-7.436386,6.373367,-54.363794,44.129951,13.465083
'04-Oct-2021 17:47:21.545',-2.485184,-7.398087,6.344635,-55.129602,43.663736,13.668914
'04-Oct-2021 17:47:21.554',-2.461243,-7.35498,6.301544,-55.90907,43.224961,13.922711
'04-Oct-2021 17:47:21.563',-2.446869,-7.278366,6.301544,-56.690939,42.812398,14.209859
'04-Oct-2021 17:47:21.572',-2.446869,-7.254425,6.354218,-57.471957,42.426144,14.509702
'04-Oct-2021 17:47:21.581',-2.45166,-7.173035,6.4021,-58.254205,42.063426,14.805856
'04-Oct-2021 17:47:21.590',-2.475601,-7.067688,6.459549,-59.018975,41.723269,15.079676
'04-Oct-2021 17:47:21.599',-2.47081,-6.952759,6.512222,-59.743494,41.399163,15.303964
'04-Oct-2021 17:47:21.608',-2.504333,-6.880936,6.62236,-60.449667,41.080764,15.464735
'04-Oct-2021 17:47:21.617',-2.64798,-6.847412,6.675034,-61.128001,40.761702,15.56805
'04-Oct-2021 17:47:21.626',-2.78685,-6.813904,6.732498,-61.804879,40.440051,15.625234
'04-Oct-2021 17:47:21.635',-2.873047,-6.751648,6.679825,-62.474593,40.113773,15.647385
'04-Oct-2021 17:47:21.644',-2.959229,-6.698975,6.722916,-63.16951,39.777345,15.646621
'04-Oct-2021 17:47:21.653',-2.98317,-6.670242,6.713348,-63.912962,39.428387,15.62687
'04-Oct-2021 17:47:21.662',-2.94487,-6.698975,6.660675,-64.694234,39.071226,15.576839
'04-Oct-2021 17:47:21.671',-2.896988,-6.727707,6.698975,-65.499253,38.708738,15.479577
'04-Oct-2021 17:47:21.680',-2.887405,-6.746857,6.847412,-66.337816,38.344972,15.330382
'04-Oct-2021 17:47:21.689',-2.801208,-6.742065,6.967133,-67.168087,37.986773,15.13742
'04-Oct-2021 17:47:21.698',-2.681503,-6.670242,7.053314,-68.007879,37.632351,14.910831
'04-Oct-2021 17:47:21.707',-2.580948,-6.584061,7.144302,-68.822871,37.276707,14.664969
'04-Oct-2021 17:47:21.716',-2.533066,-6.550537,7.206543,-69.620309,36.915714,14.421007
'04-Oct-2021 17:47:21.725',-2.566589,-6.545746,7.235275,-70.379171,36.546573,14.194919
'04-Oct-2021 17:47:21.734',-2.64798,-6.517014,7.244858,-71.166801,36.167897,13.99652
'04-Oct-2021 17:47:21.743',-2.734177,-6.502655,7.268799,-71.959513,35.784058,13.832503
'04-Oct-2021 17:47:21.752',-2.74855,-6.512222,7.316681,-72.797051,35.397285,13.704753
'04-Oct-2021 17:47:21.761',-2.700653,-6.478714,7.340622,-73.656343,35.005823,13.603339
'04-Oct-2021 17:47:21.769',-2.667145,-6.440399,7.302322,-74.541836,34.609142,13.50874
'04-Oct-2021 17:47:21.779',-2.676712,-6.349426,7.307098,-75.418457,34.204764,13.404133
'04-Oct-2021 17:47:21.788',-2.676712,-6.272812,7.302322,-76.317057,33.795394,13.283277
'04-Oct-2021 17:47:21.797',-2.705444,-6.196198,7.345413,-77.195747,33.385411,13.140871
'04-Oct-2021 17:47:21.806',-2.705444,-6.162674,7.35498,-78.092114,32.981218,12.972781
