A;-0.59376204;-0.24899697;9.811439
O;328.4525;-1.4171658;-9.8899145
A;-0.5674258;-0.2777274;9.945514
O;328.5475;-1.6207165;-9.960815
A;-0.51714754;-0.6344634;10.117896
O;328.10464;-1.016704;-10.721067
A;-0.82360536;-0.25617957;9.706094
O;328.89148;-1.1622533;-12.037403
A;-2.3080103;-0.15322891;10.520123
O;328.97202;-1.0414221;-13.216198
A;-2.0853498;-0.6512229;9.718064
O;328.18375;-0.6987282;-15.980012
A;-2.552219;-0.35194764;8.882488
O;327.74326;-0.5798076;-17.68047
A;-3.1675289;-0.48602295;9.639056
O;327.73846;-0.35315335;-20.152826
A;-3.643975;-0.78769237;9.200917
O;326.2964;0.6508636;-23.483103
A;-4.8817773;-0.80924016;7.9224133
O;326.60553;0.7655632;-27.791273
A;-5.2361193;-0.79248077;8.090008
O;326.5644;0.94553745;-31.528448
A;-6.363788;-0.4237737;6.528988
O;326.46066;5.156793E-4;-35.54515
A;-7.216124;-0.37588966;6.4858923
O;326.09192;-0.5853352;-40.54661
A;-7.81228;-0.6679823;6.873753
O;325.76733;-0.21820289;-44.18956
A;-7.7332716;-0.11731588;4.7261543
O;325.85992;-1.0682642;-48.982952
A;-9.354146;0.11492168;3.8905778
O;325.61227;-1.3565418;-52.498512
A;-8.3868885;-0.545878;4.7500963
O;324.90237;-1.9639616;-58.535492
A;-9.212888;-0.21547815;2.5929205
O;324.98386;-1.7806122;-64.46359
A;-9.797073;-0.46208093;2.2122424
O;324.37634;-1.2894437;-70.29397
A;-9.77792;0.08619126;-0.4141969
O;324.24268;-1.5597007;-74.667534
A;-10.172963;-0.009576807;-0.7661445
O;324.12857;-2.5768933;-79.17236
A;-8.494628;0.090979666;-2.1667526
O;324.29034;-3.1832454;-84.87203
A;-9.880871;-0.0023942017;-2.0111294
O;323.62433;-3.291085;-89.045586
A;-10.278308;-0.11492168;-3.550601
O;320.61606;-177.28154;-81.15149
A;-8.137892;0.18674773;-5.8466406
O;320.9405;-177.07985;-75.30303
A;-7.1227503;-0.107739076;-6.0046577
O;320.09668;-176.79277;-70.8864
A;-7.2113357;0.45250413;-7.299921
O;318.96344;-176.4062;-64.8253
A;-6.3709707;0.35434186;-8.001422
O;318.9413;-176.23401;-58.6299
A;-5.142745;0.5746084;-9.502586
O;318.27496;-175.82776;-51.801464
A;-3.5482068;0.25857377;-9.313444
O;319.49008;-176.10281;-45.665947
A;-2.3295584;0.0023942017;-10.465055
O;322.4609;-176.95987;-39.82515
A;0.0;0.0047884034;-9.428367
O;323.2126;-176.97174;-34.83131
A;0.6584055;-0.51475334;-10.424355
O;326.32077;-178.01134;-30.776077
A;-0.39983168;-0.39504328;-10.524911
O;327.25992;-178.27069;-28.179075
A;0.7374141;-0.29927522;-10.031705
O;327.35834;-178.44298;-28.615482
A;0.19871874;-0.47644615;-10.359711
O;327.38153;-178.47273;-28.470942
